caller_id,enqueued_at_ms,accept_received_at_ms,ring_emitted_at_ms,dequeue_latency_ms,total_wait_ms,operator_id,status
1778646488.108,1778646488670,1778646508029,1778646508034,5,19364,op-004,ring
1778646488.109,1778646488769,1778646508130,1778646508134,4,19365,op-005,ring
1778646488.110,1778646488870,1778646508233,1778646508238,5,19368,op-006,ring
1778646488.111,1778646488970,1778646508354,1778646508358,4,19388,op-007,ring
1778646488.112,1778646489069,1778646508456,1778646508461,5,19392,op-008,ring
1778646488.113,1778646489169,1778646508558,1778646508566,8,19397,op-009,ring
1778646488.114,1778646489270,1778646508659,1778646508664,5,19394,op-000,ring
1778646488.115,1778646489368,1778646508762,1778646508767,5,19399,op-001,ring
1778646488.116,1778646489470,1778646508866,1778646508871,5,19401,op-002,ring
1778646489.117,1778646489570,1778646508968,1778646508972,4,19402,op-003,ring
1778646489.118,1778646489669,1778646509068,1778646509071,3,19402,op-004,ring
1778646489.119,1778646489770,1778646509169,1778646509171,2,19401,op-005,ring
1778646489.120,1778646489870,1778646509270,1778646509273,3,19403,op-006,ring
1778646489.121,1778646489972,1778646509372,1778646509376,4,19404,op-007,ring
1778646489.122,1778646490069,1778646509474,1778646509480,6,19411,op-008,ring
1778646489.123,1778646490168,1778646509575,1778646509579,4,19411,op-009,ring
1778646489.124,1778646490268,1778646509686,1778646509688,2,19420,op-000,ring
1778646489.125,1778646490369,1778646509786,1778646509788,2,19419,op-001,ring
1778646489.126,1778646490469,1778646509886,1778646509888,2,19419,op-002,ring
1778646490.127,1778646490569,1778646509987,1778646509989,2,19420,op-003,ring
1778646490.128,1778646490671,1778646510089,1778646510092,3,19421,op-004,ring
1778646490.129,1778646490770,1778646510189,1778646510191,2,19421,op-005,ring
1778646490.130,1778646490869,1778646510290,1778646510294,4,19425,op-006,ring
1778646490.131,1778646490969,1778646510391,1778646510395,4,19426,op-007,ring
1778646490.132,1778646491073,1778646510492,1778646510498,6,19425,op-008,ring
1778646490.133,1778646491171,1778646510597,1778646510599,2,19428,op-009,ring
1778646490.134,1778646491271,1778646510699,1778646510702,3,19431,op-000,ring
1778646490.135,1778646491368,1778646510801,1778646510806,5,19438,op-001,ring
1778646490.136,1778646491466,1778646510903,1778646510908,5,19442,op-002,ring
1778646491.137,1778646491573,1778646511003,1778646511005,2,19432,op-003,ring
1778646491.138,1778646491669,1778646511105,1778646511110,5,19441,op-004,ring
1778646491.139,1778646491770,1778646511206,1778646511210,4,19440,op-005,ring
1778646491.140,1778646491870,1778646511308,1778646511312,4,19442,op-006,ring
1778646491.141,1778646491970,1778646511409,1778646511412,3,19442,op-007,ring
1778646491.142,1778646492073,1778646511511,1778646511515,4,19442,op-008,ring
1778646491.143,1778646492169,1778646511612,1778646511617,5,19448,op-009,ring
1778646491.144,1778646492275,1778646511716,1778646511720,4,19445,op-000,ring
1778646491.145,1778646492374,1778646511818,1778646511822,4,19448,op-001,ring
1778646491.146,1778646492474,1778646511941,1778646511946,5,19472,op-002,ring
1778646492.147,1778646492571,1778646512023,1778646512028,5,19457,op-003,ring
1778646492.148,1778646492672,1778646512127,1778646512131,4,19459,op-004,ring
1778646492.149,1778646492769,1778646512230,1778646512234,4,19465,op-005,ring
1778646492.150,1778646492869,1778646512331,1778646512335,4,19466,op-006,ring
1778646492.151,1778646492969,1778646512434,1778646512438,4,19469,op-007,ring
1778646492.152,1778646493070,1778646512537,1778646512541,4,19471,op-008,ring
1778646492.153,1778646493168,1778646512640,1778646512647,7,19479,op-009,ring
1778646492.154,1778646493270,1778646512746,1778646512754,8,19484,op-000,ring
1778646492.155,1778646493368,1778646512846,1778646512849,3,19481,op-001,ring
1778646492.156,1778646493473,1778646512951,1778646512956,5,19483,op-002,ring
1778646493.157,1778646493573,1778646513054,1778646513056,2,19483,op-003,ring
1778646493.158,1778646493670,1778646513166,1778646513168,2,19498,op-004,ring
1778646493.159,1778646493769,1778646513261,1778646513266,5,19497,op-005,ring
1778646493.160,1778646493869,1778646513362,1778646513368,6,19499,op-006,ring
1778646493.161,1778646493964,1778646513464,1778646513468,4,19504,op-007,ring
1778646493.162,,1778646513568,,,,,failed
1778646493.163,1778646494172,1778646513669,1778646513671,2,19499,op-009,ring
1778646493.164,1778646494270,1778646513769,1778646513772,3,19502,op-000,ring
1778646493.165,,1778646513875,,,,,failed
1778646494.167,1778646494570,1778646513974,1778646513977,3,19407,op-002,ring
1778646494.168,1778646494670,1778646514074,1778646514076,2,19406,op-003,ring
1778646494.169,1778646494770,1778646514176,1778646514180,4,19410,op-004,ring
1778646494.170,1778646494869,1778646514277,1778646514280,3,19411,op-005,ring
1778646494.171,1778646494972,1778646514377,1778646514379,2,19407,op-006,ring
1778646494.172,1778646495074,1778646514479,1778646514481,2,19407,op-007,ring
1778646494.173,1778646495173,1778646514580,1778646514583,3,19410,op-008,ring
1778646494.174,1778646495272,1778646514681,1778646514683,2,19411,op-009,ring
1778646494.175,1778646495373,1778646514782,1778646514785,3,19412,op-000,ring
1778646494.176,1778646495474,1778646514885,1778646514888,3,19414,op-001,ring
1778646495.177,1778646495580,1778646514986,1778646514990,4,19410,op-002,ring
1778646495.178,1778646495667,1778646515086,1778646515088,2,19421,op-003,ring
1778646495.179,1778646495770,1778646515188,1778646515194,6,19424,op-004,ring
1778646495.180,1778646495870,1778646515289,1778646515293,4,19423,op-005,ring
1778646495.181,1778646495969,1778646515392,1778646515395,3,19426,op-006,ring
1778646495.182,1778646496069,1778646515494,1778646515497,3,19428,op-007,ring
1778646495.183,1778646496168,1778646515596,1778646515600,4,19432,op-008,ring
1778646495.184,1778646496271,1778646515696,1778646515701,5,19430,op-009,ring
1778646495.185,1778646496367,1778646515797,1778646515801,4,19434,op-000,ring
1778646495.186,1778646496469,1778646515900,1778646515904,4,19435,op-001,ring
1778646496.187,1778646496570,1778646516002,1778646516004,2,19434,op-002,ring
1778646496.188,1778646496672,1778646516103,1778646516108,5,19436,op-003,ring
1778646496.189,1778646496768,1778646516204,1778646516206,2,19438,op-004,ring
1778646496.190,1778646496868,1778646516307,1778646516311,4,19443,op-005,ring
1778646496.191,1778646496972,1778646516408,1778646516415,7,19443,op-006,ring
1778646496.192,1778646497074,1778646516510,1778646516515,5,19441,op-007,ring
1778646496.193,1778646497168,1778646516611,1778646516616,5,19448,op-008,ring
1778646496.194,1778646497270,1778646516712,1778646516714,2,19444,op-009,ring
1778646496.195,1778646497370,1778646516814,1778646516819,5,19449,op-000,ring
1778646496.196,1778646497469,1778646516918,1778646516922,4,19453,op-001,ring
1778646497.197,1778646497571,1778646517022,1778646517026,4,19455,op-002,ring
1778646497.198,1778646497669,1778646517123,1778646517127,4,19458,op-003,ring
1778646497.199,1778646497769,1778646517224,1778646517229,5,19460,op-004,ring
1778646497.200,1778646497871,1778646517325,1778646517329,4,19458,op-005,ring
1778646497.201,1778646497969,1778646517435,1778646517439,4,19470,op-006,ring
1778646497.202,1778646498069,1778646517536,1778646517540,4,19471,op-007,ring
1778646497.203,1778646498168,1778646517638,1778646517643,5,19475,op-008,ring
1778646497.204,1778646498272,1778646517739,1778646517744,5,19472,op-009,ring
1778646497.205,1778646498369,1778646517842,1778646517847,5,19478,op-000,ring
1778646497.206,1778646498472,1778646517943,1778646517948,5,19476,op-001,ring
1778646498.207,1778646498569,1778646518044,1778646518047,3,19478,op-002,ring
1778646498.208,1778646498669,1778646518146,1778646518150,4,19481,op-003,ring
1778646498.209,1778646498771,1778646518254,1778646518257,3,19486,op-004,ring
1778646498.210,1778646498869,1778646518358,1778646518362,4,19493,op-005,ring
1778646498.211,1778646498969,1778646518459,1778646518463,4,19494,op-006,ring
1778646498.212,1778646499069,1778646518560,1778646518565,5,19496,op-007,ring
1778646498.213,1778646499168,1778646518661,1778646518666,5,19498,op-008,ring
1778646498.214,1778646499269,1778646518762,1778646518767,5,19498,op-009,ring
1778646498.215,1778646499371,1778646518863,1778646518869,6,19498,op-000,ring
1778646498.216,1778646499470,1778646518965,1778646518970,5,19500,op-001,ring
1778646499.217,1778646499570,1778646519067,1778646519070,3,19500,op-002,ring
1778646499.218,1778646499669,1778646519168,1778646519172,4,19503,op-003,ring
1778646499.219,,1778646519270,,,,,failed
1778646499.220,1778646499871,1778646519371,1778646519373,2,19502,op-005,ring
1778646499.221,,1778646519474,,,,,failed
1778646499.223,1778646500169,1778646519575,1778646519577,2,19408,op-007,ring
1778646499.225,1778646500372,1778646519676,1778646519678,2,19306,op-008,ring
1778646499.227,1778646500468,1778646519778,1778646519782,4,19314,op-009,ring
1778646500.229,1778646500572,1778646519877,1778646519879,2,19307,op-000,ring
1778646500.231,1778646500670,1778646519978,1778646519981,3,19311,op-001,ring
1778646500.233,1778646500770,1778646520079,1778646520081,2,19311,op-002,ring
1778646500.235,1778646500868,1778646520179,1778646520181,2,19313,op-003,ring
1778646500.237,1778646500968,1778646520281,1778646520284,3,19316,op-004,ring
1778646500.239,1778646501070,1778646520383,1778646520387,4,19317,op-005,ring
1778646500.241,1778646501167,1778646520485,1778646520488,3,19321,op-006,ring
1778646500.243,1778646501272,1778646520586,1778646520590,4,19318,op-007,ring
1778646500.245,1778646501368,1778646520687,1778646520690,3,19322,op-008,ring
1778646500.247,1778646501492,1778646520788,1778646520791,3,19299,op-009,ring
1778646501.249,1778646501572,1778646520888,1778646520893,5,19321,op-000,ring
